Category,Title,Original Link,Description,Publication Date
주식,"국민연금, 비트코인 최다 보유 美 기업 주식 460억원 규모 매입",https://www.imaeil.com/page/view/2024081713415008423,마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 가장 많은 비트코인을... 국민연금은 마이크로스트래티지가 이달 초 1대 10의 주식 분할 전에 평균 1천377.48달러에 2만4천500주를... ,"Sat, 17 Aug 2024 13:51:00 +0900"
주식,"국민연금, 비트코인 최다 보유 美 기업 주식 460억원 매입",https://biz.sbs.co.kr/article_hub/20000187344?division=NAVER,마이크로스트래티지 주식을 매입했다고 보도했습니다. 마이크로스트래티지는 가장 많은 비트코인을... 국민연금은 마이크로스트래티지가 이달 초 1대 10의 주식 분할 전에 평균 1천377.48달러에 2만4천500주를... ,"Sat, 17 Aug 2024 10:30:00 +0900"
주식,주식투자도 장비빨?...'초당 3회 주문' 키보드에 증권사도 반했다,http://news.mt.co.kr/mtview.php?no=2024080213373076410,"지난 6월 한국거래소는 올해 국내 주식시장 거래의 절반가량이 주식을 구입한날 바로 되파는 단타 매매인 '데이트레이딩'이라고 발표했다. 데이트레이딩은 전체 거래량의 58%, 거래대금의 48%로 조사됐다. 투자자... ","Sat, 17 Aug 2024 16:00:00 +0900"
주식,"국민연금, 가상화폐 간접 투자 확대…비트코인 최다 보유 美 기업 주식 매입",https://www.etoday.co.kr/news/view/2391410,마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 비트코인을 가장 많이... 국민연금은 이달 초 마이크로스트래티지가 1대 10으로 주식을 분할하기 전에 2만4500주를 평균 1377.48달러에... ,"Sat, 17 Aug 2024 10:48:00 +0900"
주식,영업이익 17배·주가는 2.6배 차이…주식 매수청구권 행사도 부담,https://www.sedaily.com/NewsView/2DD1FVSJNF,이처럼 압도적인 반대 의견은 향후 셀트리온 주주들의 주식 매수청구권 행사 과정에서 대규모 자금 부담으로 이어질 수 있다. 주식 매수청구권은 합병에 반대하는 주주가 회사 측에 자신의 보유 주식을 정당한 가격으로... ,"Fri, 16 Aug 2024 17:52:00 +0900"
주식,"카카오 정신아, 위기 속 '책임경영' 2억원 주식 매입",https://www.bloter.net/news/articleView.html?idxno=621498,정신아 카카오 대표가 책임경영 일환으로 올해 약 2억원 규모 주식을 매입했다. 정 대표는 지난 5월 주주서한에서 매년 2억원 주식을 매입하고 재직 기간 동안 매도하지 않겠다고 약속했다. 주식 매입 시기는 매년 2월과... ,"Sat, 17 Aug 2024 12:00:00 +0900"
주식,68조 애플 지분 처분한 ‘투자의 귀재’…이 주식 샀다는데,https://www.mk.co.kr/article/11093701,"14일(현지시간) 블룸버그·로이터통신 등에 따르면 버크셔는 이날 주식시장 마감 후 공시(13F 보고서)를... 버크셔는 2분기에 772억 달러(약 105조원) 규모 주식을 매도했는데, 매수는 16억 달러(약 2조1000억원)에... ","Thu, 15 Aug 2024 20:47:00 +0900"
주식,[김규성의 택스토리] 해외주식 양도세 절세팁 '3가지'…잘 못 쓰면 '세금폭탄...,http://www.fnnews.com/news/202408161316178380,"주식 투자에 대한 세금부과는 뜨거운 감자다. 대세가 된 '서학개미'도, 1400만명에 육박한다는 국내... 특히 해외주식 양도소득세율은 22%(지방소득세 포함)에 달한다. 올해 번 돈은 내년 5월31일까지 본인이 직접... ","Sat, 17 Aug 2024 10:00:00 +0900"
주식,"1년 만에 주가 반토막 났는데…""역대급 잭팟 터진다"" 술렁 [윤현주의 主食이 ...",https://www.hankyung.com/article/202408040229i,총 주식 수는 1831만4054주로 최대주주는 허우영 대표(지분 35.85%) 외 5인이 지분 36.74%를 보유했다.... 여러분의 주식 계좌가 빨간불이 되는 그날까지 재미있는 종목 기사 많이 쓰겠습니다. 아래 기자 페이지에서 구독과... ,"Sat, 17 Aug 2024 07:01:00 +0900"
주식,"국민연금, 비트코인 최다 보유 美 기업 주식 460억원 규모 매입",https://www.dnews.co.kr/uhtml/view.jsp?idxno=202408171044514370397,마이크로스트래티지 주식을 매입했다고 보도했다. 마이크로스트래티지는 가장 많은 비트코인을... 국민연금은 마이크로스트래티지가 이달 초 1대 10의 주식 분할 전에 평균 1377.48달러에 2만4500주를 매입했다.... ,"Sat, 17 Aug 2024 11:00:00 +0900"
